[17, 79, 24]
[18, 79, 22]
[18, 78, 23]
[19, 80, 24]
[19, 79, 25]
[18, 80, 24]
[19, 79, 24]
[19, 79, 27]
[18, 78, 23]
[19, 80, 23]
[18, 78, 25]
[16, 77, 23]
